Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
All Downtown,Manhattan,submarket,2350.0,2300.0,2215.0,2275.0,2300.0,2300.0,2295.0,2300.0,2450.0,2550.0,2500.0,2425.0,2450.0,2491.0,2399.0,2450.0,2400.0,2400.0,2450.0,2463.0,2500.0,2500.0,2475.0,2450.0,2450.0,2475.0,2495.0,2500.0,2500.0,2499.0,2500.0,2499.0,2500.0,2500.0,2500.0,2595.0,2600.0,2600.0,2600.0,2600.0,2598.0,2550.0,2525.0,2600.0,2612.5,2675.0,2695.0,2681.5,2695.0,2650.0,2700.0,2742.0,2750.0,2650.0,2690.0,2700.0,2735.0,2750.0,2750.0,2750.0,2700.0,2775.0,2800.0,2800.0,2800.0,2750.0,2750.0,2800.0,2850.0,2840.0,2775.0,2825.0,2795.0,2800.0,2820.0,2850.0,2850.0,2850.0,2820.0,2815.0,2750.0,2750.0,2750.0,2709.0,2708.0,2786.5,2750.0,2750.0,2750.0,2750.0,2750.0,2730.0,2750.0,2750.0,2700.0,2695.0,2713.0,2734.0,2752.0,2750.0,2795.0,2800.0
All Midtown,Manhattan,submarket,2000.0,1992.5,1975.0,1999.5,1999.0,2000.0,2050.0,2095.0,2100.0,2150.0,2150.0,2185.0,2110.0,2195.0,2200.0,2250.0,2250.0,2350.0,2300.0,2300.0,2300.0,2341.5,2335.0,2350.0,2350.0,2340.0,2343.0,2350.0,2375.0,2375.0,2395.0,2306.0,2350.0,2300.0,2350.0,2350.0,2350.0,2395.0,2400.0,2391.0,2350.0,2395.0,2395.0,2400.0,2450.0,2400.0,2350.0,2400.0,2400.0,2495.0,2450.0,2490.5,2500.0,2500.0,2495.0,2500.0,2500.0,2500.0,2550.0,2550.0,2500.0,2550.0,2550.0,2600.0,2602.5,2600.0,2600.0,2650.0,2695.0,2600.0,2595.0,2595.0,2600.0,2600.0,2600.0,2595.0,2650.0,2650.0,2650.0,2650.0,2600.0,2600.0,2590.0,2600.0,2547.5,2550.0,2595.0,2600.0,2600.0,2600.0,2600.0,2600.0,2595.0,2595.0,2450.0,2450.0,2450.0,2500.0,2500.0,2550.0,2550.0,2595.0
All Upper East Side,Manhattan,submarket,1750.0,1750.0,1750.0,1775.0,1800.0,1750.0,1750.0,1700.0,1750.0,1800.0,1750.0,1750.0,1750.0,1750.0,1679.5,1695.0,1700.0,1825.0,1850.0,1850.0,1900.0,1900.0,1850.0,1925.0,1875.0,1875.0,1850.0,1850.0,1870.0,1850.0,1850.0,1895.0,1897.5,1895.0,1865.0,1900.0,1895.0,1950.0,1925.0,1875.0,1897.5,1950.0,1900.0,1900.0,1895.0,1900.0,1935.0,1900.0,1875.0,1900.0,1929.0,1929.0,1900.0,1900.0,1900.0,1925.0,1900.0,1950.0,1900.0,1900.0,1900.0,1900.0,1950.0,2000.0,2075.0,2050.0,2050.0,2100.0,2125.0,2150.0,2100.0,2100.0,2095.0,2100.0,2125.0,2100.0,2112.5,2150.0,2150.0,2125.0,2145.0,2099.5,2100.0,2100.0,2097.0,2050.0,2100.0,2099.0,2100.0,2100.0,2100.0,2100.0,2095.0,2085.0,2025.0,2075.0,2057.5,2075.0,2095.0,2100.0,2095.0,2077.5
All Upper Manhattan,Manhattan,submarket,1175.0,1150.0,1162.5,1150.0,1150.0,1195.0,1250.0,1197.5,1200.0,1232.0,1215.0,1200.0,1208.0,1125.0,1200.0,1450.0,1500.0,1535.0,1495.0,1587.5,1595.0,1572.5,1400.0,1500.0,1350.0,1512.5,1450.0,1387.5,1495.0,1497.5,1595.0,1525.0,1595.0,1500.0,1585.0,1425.0,1400.0,1400.0,1400.0,1355.0,1375.0,1400.0,1500.0,1500.0,1425.0,1425.0,1425.0,1400.0,1400.0,1450.0,1400.0,1450.0,1500.0,1550.0,1462.5,1500.0,1495.0,1495.0,1567.5,1585.0,1475.0,1500.0,1500.0,1500.0,1550.0,1595.0,1600.0,1650.0,1600.0,1650.0,1675.0,1600.0,1650.0,1600.0,1650.0,1650.0,1695.0,1650.0,1625.0,1600.0,1600.0,1675.0,1699.5,1699.0,1699.0,1650.0,1650.0,1676.0,1695.0,1675.0,1695.0,1749.0,1738.0,1700.0,1650.0,1650.0,1675.0,1685.0,1695.0,1700.0,1750.0,1785.0
All Upper West Side,Manhattan,submarket,1800.0,1800.0,1795.0,1800.0,1895.0,1900.0,1800.0,1895.0,1995.0,2000.0,2000.0,1895.0,1900.0,1950.0,1917.5,1975.0,1975.0,2000.0,2000.0,2150.0,2150.0,2095.0,2050.0,2050.0,2000.0,2042.5,2000.0,2095.0,2062.5,2012.5,2150.0,2170.5,2150.0,2100.0,2156.0,2150.0,2100.0,2150.0,2150.0,2150.0,2130.0,2100.0,2100.0,2150.0,2200.0,2200.0,2150.0,2150.0,2150.0,2180.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2250.0,2200.0,2200.0,2200.0,2195.0,2200.0,2250.0,2300.0,2350.0,2335.0,2300.0,2300.0,2300.0,2300.0,2271.0,2300.0,2295.0,2300.0,2300.0,2300.0,2350.0,2395.0,2350.0,2349.5,2342.0,2350.0,2300.0,2300.0,2250.0,2279.0,2295.0,2250.0,2300.0,2300.0,2295.0,2300.0,2300.0,2275.0,2300.0,2300.0,2285.0,2300.0,2295.0,2300.0,2312.5,2300.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1141.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.0,1400.0,1400.0,1462.5,1825.0,,1275.0,1749.5,1350.0,1600.0,1525.0,1600.0,1600.0,1650.0,1675.0,1537.5,1600.0,1500.0,1750.0,1750.0,1650.0,1697.5,1525.0,1637.5,1650.0,1600.0,1700.0,1725.0,1680.0,1550.0,1550.0,1500.0,1500.0,1550.0,1625.0,1650.0,1750.0,1850.0,1750.0,1962.5,1650.0,1550.0,1850.0,1897.0,1800.0,1675.0,1600.0,1612.5,1750.0,1797.5,1712.5,1877.0,1825.0,1850.0,1750.0,1750.0,1700.0,1850.0,1775.0,1712.5,1700.0,1675.0,1700.0,1700.0,1690.0,1650.0,1895.0,1750.0,1667.0,1775.0,1750.0,1745.5,1695.0,1700.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,2550.0,2300.0,2300.0,2525.0,2695.0,2795.0,2795.0,2500.0,2500.0,2650.0,2595.0,2500.0,2500.0,2325.0,2312.5,2500.0,2412.5,2500.0,2442.5,2400.0,2475.0,2475.0,2475.0,2625.0,2675.0,2595.0,2610.0,2725.0,2439.0,2550.0,2545.0,2475.0,2462.5,2472.5,2487.5,2595.0,2675.0,2622.5,2595.0,2695.0,2650.0,2650.0,2650.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2797.5,2900.0,3085.0,2800.0,2745.0,2762.5,2750.0,2850.0,2900.0,2600.0,2800.0,3125.0,2940.0,2955.0,2942.5,3075.0,2892.5,2950.0,3120.0,3000.0,2865.0,2925.0,3072.5,2995.0,3000.0,3000.0,3000.0,3100.0,3200.0,3100.0,3100.0,3100.0,3035.0,2977.0,3050.0,3050.0,2950.0,2950.0,2995.0,2950.0,2972.5,2950.0,2989.5,2914.5,2795.0,2686.0,2750.0,2860.0,3100.0,3100.0,3100.0,3100.0
