Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
All Downtown,Manhattan,submarket,0.1162507608034084,0.08683314415437003,0.12786697247706422,0.1001669449081803,0.09428571428571428,0.08023255813953488,0.06928264868179031,0.06744487678339818,0.09499637418419143,0.10575539568345324,0.09917971662938106,0.07902511078286559,0.0835635359116022,0.07832167832167833,0.09511731135066584,0.06453715775749674,0.0693196405648267,0.07168674698795181,0.10766530134581627,0.10967741935483873,0.11858529819694867,0.13178294573643412,0.1568627450980392,0.13532763532763534,0.14412136536030346,0.13829787234042554,0.12625139043381536,0.11632987438558165,0.13206577595066804,0.14087301587301587,0.12853717026378894,0.11505321844906236,0.14349525404801786,0.14919578480310594,0.12839059674502712,0.1329268292682927,0.15146750524109015,0.14299851558634338,0.14730381411661553,0.14397046759639048,0.1261663286004057,0.12921348314606745,0.14388202471104025,0.16561762391817467,0.16798997074801506,0.18654545454545451,0.1573546180159635,0.14537264537264538,0.1458498023715415,0.14025974025974025,0.14579191517561302,0.2025931928687196,0.214014598540146,0.14058956916099774,0.16566371681415928,0.17140825035561874,0.17885264341957255,0.19516065053550175,0.18863049095607234,0.15334491746307558,0.15879828326180254,0.14623032311516154,0.14554163596168018,0.13387495584599082,0.1326797385620915,0.16101152368758004,0.17353033637220996,0.1938534278959811,0.1904406273338312,0.233457249070632,0.21917229729729729,0.2128755364806867,0.2,0.19055056618508395,0.20629245620307474,0.17273048392794066,0.16433566433566432,0.20112471055243136,0.2422562764916857,0.2277321541377132,0.2548951048951049,0.2849423631123919,0.26707363601678746,0.21906287545054065,0.21820175438596487,0.21643733730011155,0.2002656924609764,0.19264214046822745,0.20585457979225685,0.22559327125262846,0.2035370772572138,0.2629059829059829,0.2623959464350344,0.30349430702787594,0.2985989492119089,0.21823204419889505,0.2388790035587189,0.21303142329020333,0.18155854753161974,0.1713193116634799,0.14909231363460795,0.16020671834625322
All Midtown,Manhattan,submarket,0.1185495118549512,0.09385550303848753,0.1032171581769437,0.10396975425330812,0.09255393180236604,0.07775377969762419,0.08017179670722978,0.09865470852017937,0.09888357256778307,0.11056511056511056,0.106928999144568,0.0878438331854481,0.09385964912280703,0.08919382504288165,0.07154340836012862,0.07573289902280131,0.0698967434471803,0.09195402298850576,0.10016835016835016,0.10144927536231883,0.10956663941128372,0.1374485596707819,0.1644518272425249,0.14554794520547945,0.13736263736263735,0.13862120088954782,0.12603305785123967,0.13144517066085692,0.10128388017118402,0.12391158740790355,0.12827400940228342,0.12735849056603776,0.1489841986455982,0.1578125,0.13253968253968254,0.12921348314606745,0.14233576642335766,0.1347517730496454,0.14285714285714285,0.1282051282051282,0.11440677966101695,0.1424260712130356,0.12966252220248667,0.1510204081632653,0.13835701050030882,0.19135071090047392,0.1766541822721598,0.200507614213198,0.17520858164481526,0.15752625437572929,0.1526677231907026,0.14354322305229456,0.1266284523189161,0.14781693845344554,0.14642678660669664,0.15949367088607594,0.17967522262964902,0.1761929732564237,0.16676152532726238,0.15286975717439294,0.1564102564102564,0.14405525407005426,0.14930388862217955,0.11911357340720223,0.1360381861575179,0.13178294573643412,0.15284625728372928,0.16418583671628326,0.1595949855351977,0.2378430428502648,0.21174728529121425,0.18345323741007194,0.16927453769559034,0.1539951573849879,0.1850282485875706,0.1591743119266055,0.15780062583817614,0.1734651833539349,0.1986161986161986,0.2004763795156808,0.2109170305676856,0.23293703214442976,0.2323140118667275,0.1821239788563191,0.21656333038086806,0.18356164383561646,0.18224101479915436,0.1638655462184874,0.1805940594059406,0.1867794004611837,0.17482800485633346,0.20356001825650388,0.23080733036156514,0.2680221811460259,0.3059536934950386,0.2282110091743119,0.23176206509539846,0.20977828311540647,0.2017276422764228,0.18488253319713996,0.171256885327992,0.14476284584980234
All Upper East Side,Manhattan,submarket,0.13725490196078433,0.12661498708010335,0.12478184991273995,0.10750695088044486,0.11446886446886445,0.10435571687840292,0.11690647482014388,0.0829535095715588,0.10964467005076142,0.11445198836081474,0.12335692618806875,0.09848484848484848,0.08440366972477065,0.07586206896551724,0.07853403141361258,0.07924528301886792,0.1029263370332997,0.10010214504596528,0.09860557768924302,0.10206084396467124,0.1206896551724138,0.1581986143187067,0.14233576642335766,0.12911725955204215,0.2054794520547945,0.18506493506493507,0.16570327552986513,0.15988372093023254,0.13732718894009216,0.13339301700984782,0.16366906474820145,0.15549348230912474,0.15280665280665282,0.16381909547738693,0.15360824742268042,0.13592233009708735,0.1472569778633301,0.12255406797116375,0.14839319470699433,0.14974182444061962,0.1257005604483587,0.1410756040530008,0.15007656967840735,0.11976487876561352,0.1673469387755102,0.198389458272328,0.20139968895800933,0.17606244579358196,0.1672268907563025,0.17271293375394325,0.1593118922961855,0.1346153846153846,0.12329749103942653,0.14213926776740848,0.16435643564356436,0.17522245037645448,0.17563739376770535,0.17339312406576982,0.17676767676767674,0.15570934256055366,0.14,0.11809045226130653,0.12697220135236664,0.11968276856524873,0.10258152173913043,0.11961057023643948,0.13915416098226466,0.13869625520110954,0.15477084898572502,0.19828815977175465,0.17834890965732084,0.1725,0.15163297045101087,0.14407436096049575,0.15239477503628446,0.16973125884016976,0.14920424403183025,0.1562881562881563,0.2189384800965018,0.2422208663819402,0.24851680949241925,0.2305555555555556,0.23313782991202345,0.1724137931034483,0.18950437317784255,0.15354938271604934,0.17979942693409742,0.16319194823867722,0.17797179314976494,0.21219987021414666,0.2106958762886598,0.2272396212672979,0.25115562403698,0.2838360402165507,0.2727272727272727,0.21823472356935011,0.22597864768683276,0.1969147005444646,0.1894383906119028,0.1621405750798722,0.15849056603773584,0.14653323802716225
All Upper Manhattan,Manhattan,submarket,0.09473684210526316,0.11619718309859155,0.07586206896551724,0.0946969696969697,0.07662835249042145,0.09689922480620156,0.06463878326996197,0.06367041198501873,0.0735930735930736,0.08181818181818183,0.08653846153846154,0.06666666666666668,0.057142857142857134,0.09132420091324199,0.08298755186721991,0.11199999999999999,0.08450704225352113,0.10283687943262412,0.09187279151943464,0.08754208754208755,0.11742424242424244,0.12927756653992395,0.16129032258064516,0.07083333333333333,0.10915492957746477,0.12852664576802508,0.16119402985074627,0.10588235294117647,0.09315068493150687,0.10152284263959392,0.09813084112149532,0.09821428571428573,0.1175,0.14285714285714285,0.08188585607940446,0.08633093525179858,0.12035010940919035,0.1169724770642202,0.10585585585585586,0.1015625,0.11829944547134935,0.11512027491408935,0.09028960817717206,0.09836065573770493,0.1339622641509434,0.15476190476190474,0.13357400722021662,0.1081593927893738,0.13020833333333334,0.12271973466003315,0.11503067484662576,0.10984308131241084,0.1390728476821192,0.11497326203208555,0.11848341232227487,0.08466819221967964,0.14617169373549885,0.14605418138987045,0.16243654822335024,0.11369509043927647,0.10864197530864196,0.10962241169305724,0.14089347079037803,0.08239277652370203,0.08379888268156424,0.10180995475113122,0.1213872832369942,0.10858835143139192,0.10301768990634756,0.12683438155136267,0.15224534501642936,0.11686746987951807,0.09568261376896148,0.11098265895953756,0.10588235294117647,0.07904191616766468,0.07420494699646643,0.10021097046413502,0.11981132075471697,0.1449016100178891,0.13056379821958458,0.14551083591331268,0.1216648879402348,0.10192525481313704,0.13835198372329605,0.13813813813813813,0.1176470588235294,0.1286727456940223,0.11151736745886656,0.12013256006628005,0.11864406779661014,0.1942675159235669,0.1579532814238042,0.19799777530589546,0.21972534332084892,0.14872521246458922,0.16248348745046234,0.14082687338501293,0.1501240694789082,0.13610149942329874,0.13074565883554648,0.13689320388349516
All Upper West Side,Manhattan,submarket,0.10117145899893504,0.1184346035015448,0.11588785046728972,0.09316770186335403,0.14349775784753366,0.0898576512455516,0.06937561942517344,0.10452961672473868,0.07662835249042145,0.11054637865311308,0.10052910052910052,0.09126984126984126,0.08807588075880758,0.09090909090909093,0.08784596871239471,0.0858974358974359,0.09325153374233128,0.07491486946651532,0.08084163898117387,0.08852459016393442,0.1048951048951049,0.13481953290870488,0.1784776902887139,0.14184397163120568,0.17268041237113402,0.1875,0.1624863685932388,0.1592554291623578,0.13751263902932254,0.13052011776251227,0.14853556485355648,0.1408308004052685,0.1751412429378531,0.16724336793540945,0.1728538283062645,0.11432009626955475,0.13747228381374724,0.11013215859030837,0.140177690029615,0.1366906474820144,0.11322463768115942,0.13513513513513514,0.16466234967622573,0.14766355140186915,0.13711151736745886,0.2097649186256781,0.1951219512195122,0.2291296625222025,0.22502250225022505,0.1863711001642036,0.1915739268680445,0.1855345911949685,0.1500732064421669,0.17192746809939558,0.20617906683480453,0.18094585332419466,0.21755725190839692,0.2114467408585056,0.20086206896551725,0.19447004608294927,0.20348837209302328,0.14912280701754385,0.17660728117738184,0.17555555555555555,0.18337912087912087,0.18550531914893614,0.17857142857142858,0.1894273127753304,0.21920135938827529,0.2460383653044204,0.2680890538033395,0.22038327526132406,0.2205258693808312,0.20797962648556875,0.18549051937345426,0.18265993265993266,0.21219135802469136,0.2209386281588448,0.23865199449793675,0.2874743326488706,0.2619760479041916,0.2874162323157111,0.29444444444444445,0.18248772504091654,0.2552334943639292,0.2394715111478117,0.21631736526946108,0.2259721203228173,0.24048913043478265,0.2720156555772994,0.2528201725282017,0.2749410840534171,0.3187808896210873,0.3305227655986509,0.33153153153153153,0.2925636007827789,0.3110720562390158,0.2686292548298068,0.2631578947368421,0.20737704918032787,0.2284345047923323,0.21003861003861005
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.0,0.045454545454545456,0.020408163265306117,0.0,0.047619047619047616,0.0,0.0,0.0,0.04,0.0,0.16,0.043478260869565216,0.043478260869565216,0.0,0.0,0.03571428571428571,0.016393442622950817,0.016393442622950817,0.0,0.037037037037037035,0.03448275862068965,0.06666666666666668,0.05555555555555555,0.09523809523809523,0.2,0.05882352941176471,0.08823529411764706,0.1276595744680851,0.054545454545454536,0.06493506493506493,0.09090909090909093,0.05555555555555555,0.078125,0.12280701754385966,0.1111111111111111,0.03225806451612903,0.0958904109589041,0.13636363636363635,0.05357142857142857,0.025210084033613446,0.03759398496240601,0.025806451612903226,0.03409090909090909,0.14285714285714285,0.0873015873015873,0.08522727272727272,0.13744075829383887,0.04782608695652174,0.06310679611650485,0.04878048780487805,0.08917197452229299,0.04155124653739612,0.06575963718820861,0.0741687979539642,0.0594900849858357,0.06613756613756612,0.10559006211180123,0.08150470219435736,0.08450704225352113,0.08352668213457076,0.10335195530726256,0.08395061728395062,0.09027777777777778,0.0873015873015873,0.057906458797327386,0.07489878542510121,0.060109289617486336,0.07344632768361582,0.08370044052863436,0.10786516853932583,0.13942307692307693,0.1167883211678832,0.13744075829383887,0.12323232323232325,0.14257028112449802,0.1124031007751938,0.10231660231660232,0.13513513513513514,0.11328125,0.1154639175257732,0.12548262548262548,0.21217712177121767,0.21708185053380785,0.12605042016806722,0.16734143049932526,0.1259946949602122,0.1150747986191024,0.1426872770511296,0.14752252252252251,0.15096251266464036,0.13692946058091288,0.1590909090909091,0.19897084048027444,0.2496217851739788,0.2596006144393241,0.18181818181818185,0.19536903039073805,0.19833564493758668,0.15855039637599094,0.18,0.1880239520958084,0.13856812933025406
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07692307692307693,0.0,,,,,,0.16666666666666666,,,,0.21428571428571427,0.15384615384615385
Battery Park City,Manhattan,neighborhood,0.11235955056179776,0.023809523809523808,0.06,0.11235955056179776,0.011111111111111113,0.05434782608695652,0.04301075268817205,0.07476635514018691,0.0673076923076923,0.04424778761061947,0.07291666666666667,0.09433962264150944,0.08771929824561403,0.06923076923076922,0.1048951048951049,0.050420168067226885,0.05882352941176471,0.09322033898305083,0.04424778761061947,0.16806722689075632,0.1875,0.1885245901639344,0.2137404580152672,0.17796610169491525,0.2706766917293233,0.14960629921259844,0.13986013986013987,0.10714285714285714,0.13768115942028986,0.09271523178807947,0.08571428571428573,0.09448818897637797,0.15126050420168066,0.1016949152542373,0.12931034482758622,0.1875,0.18181818181818185,0.13071895424836602,0.16167664670658682,0.1901840490797546,0.12025316455696206,0.16463414634146342,0.07947019867549669,0.1111111111111111,0.13125,0.1317365269461078,0.15789473684210525,0.15,0.15337423312883436,0.13245033112582782,0.06666666666666668,0.02097902097902098,0.0718954248366013,0.08396946564885496,0.12056737588652483,0.10493827160493828,0.1021897810218978,0.17605633802816897,0.15527950310559005,0.1568627450980392,0.16551724137931034,0.19852941176470587,0.1643835616438356,0.19863013698630136,0.12857142857142856,0.22857142857142854,0.19718309859154928,0.21804511278195488,0.1297709923664122,0.2533333333333333,0.2307692307692308,0.22689075630252103,0.2479338842975207,0.26515151515151514,0.1865671641791045,0.11475409836065575,0.1206896551724138,0.136,0.203125,0.12698412698412698,0.1559633027522936,0.28225806451612906,0.2608695652173913,0.14634146341463414,0.14615384615384616,0.2481203007518797,0.15555555555555556,0.18253968253968253,0.2478632478632479,0.16379310344827586,0.24761904761904766,0.2818181818181818,0.14736842105263154,0.3181818181818182,0.30526315789473685,0.2523364485981308,0.3235294117647059,0.2346938775510204,0.18867924528301888,0.14563106796116504,0.0898876404494382,0.05681818181818181
