,sales,MoM,YoY
,Manhattan,,
,All Midtown,,
,All,,
1995-01,276412.1807655778,,
1995-02,266103.8905997014,-0.03729318345278998,
1995-03,282971.7214587706,0.06338814070344956,
1995-04,280081.3376920427,-0.010214390865021739,
1995-05,278607.0614473897,-0.00526374322831169,
1995-06,289209.2945726233,0.038054430746133905,
1995-07,299719.4539923749,0.036341015371870844,
1995-08,301410.4749698241,0.005642012738660052,
1995-09,299562.3480548217,-0.00613159484648762,
1995-10,294338.7688165469,-0.017437369122633828,
1995-11,299124.3547724069,0.016258768680393443,
1995-12,303431.7558775682,0.014400034756242519,
1996-01,322810.1700755857,0.06386415997222294,0.16785797637969324
1996-02,331158.5413640101,0.025861549797113303,0.24447087420518043
1996-03,316729.3515429808,-0.0435718485822435,0.1192968325957926
1996-04,314713.1971979103,-0.006365543121433559,0.12364929342042164
1996-05,310853.3997137705,-0.01226449198351387,0.11574128128288641
1996-06,304552.411013091,-0.02026996875852527,0.05305194794358492
1996-07,300197.2250797541,-0.014300283878395215,0.0015940609827460595
1996-08,306018.2079222762,0.019390528479987346,0.015287235630790486
1996-09,314910.1543806559,0.029056919582504337,0.05123409675980195
1996-10,308611.9453636842,-0.020000018828730926,0.048492343039028496
1996-11,336144.1368281237,0.08921298050208049,0.12376050784592185
1996-12,325755.3014731962,-0.03090589487282802,0.07357023503049342
1997-01,333591.9619438043,0.02405689311936765,0.03339978993132098
1997-02,330559.7153909835,-0.009089687099030241,-0.0018082757900794721
1997-03,314546.7677067253,-0.04844192119816604,-0.006891005919163584
1997-04,320540.9887616711,0.019056692582308354,0.018517785767007355
1997-05,344188.5803143226,0.07377400202079598,0.1072376259395802
1997-06,366288.1395495954,0.06420770617982408,0.20270970218604112
1997-07,357373.0893449215,-0.02433889946760559,0.19046100192957272
1997-08,316579.8308688314,-0.11414753850343262,0.034513054037744295
1997-09,327817.1188820151,0.03549590630061217,0.040986180730639754
1997-10,345616.934949593,0.05429800654792594,0.11990783293336293
1997-11,333886.0685386629,-0.03394181599533297,-0.006717559647977378
1997-12,352938.9563055327,0.057064039390021914,0.08344808114987279
1998-01,363183.0892853742,0.029025226025129802,0.08870455741542949
1998-02,355913.7770409026,-0.020015558154910962,0.07670039774789394
1998-03,355793.9248748485,-0.0003367449471907147,0.1311320331435768
1998-04,366382.022351908,0.0297590732635018,0.14301145624880007
1998-05,369047.0331526573,0.007273857990198085,0.0722233515581292
1998-06,388707.5295827449,0.05327368780649411,0.0612069778200226
1998-07,389450.8109190862,0.001912186617890388,0.0897597567655819
1998-08,409320.4294118315,0.051019584336861046,0.29294537901697626
1998-09,408041.8988396988,-0.0031235444904859078,0.24472419326751949
1998-10,388607.0641461749,-0.04762950753044848,0.12438663980065634
1998-11,397850.1228543982,0.023785102127599433,0.19157449304695517
1998-12,396932.3515108235,-0.0023068268447176132,0.12464873718050695
1999-01,384634.0685884266,-0.03098332215952293,0.0590638163942625
1999-02,385790.9716634738,0.0030078018811305895,0.0839450354267619
1999-03,378378.9948691782,-0.019212416408648014,0.0634779528691336
1999-04,390591.3380113225,0.03227542571798048,0.06607670186437686
1999-05,417895.8560536896,0.06990559028110255,0.13236476251748064
1999-06,404391.6164971928,-0.03231484438257226,0.04034932621779652
1999-07,432002.2415912107,0.06827694731453349,0.10926009005272075
1999-08,433484.369111767,0.0034308329398873294,0.05903428698796587
1999-09,434884.9890939803,0.0032310737872354167,0.0657851321901306
1999-10,459580.0888317255,0.05678535786943084,0.18263441721392382
1999-11,458216.8152333184,-0.0029663460875177794,0.15173224516261552
1999-12,456865.05693011,-0.002950040806599663,0.1509897220298817
2000-01,457301.9586342653,0.0009563036120361357,0.1889273363447066
2000-02,450546.4720239164,-0.014772485625305865,0.16785125914488463
2000-03,475082.7242075976,0.05445887096498847,0.2555737254174324
2000-04,493639.1027478315,0.03905925767177609,0.26382501276441994
2000-05,502745.8373688252,0.018448162980406746,0.20304097321375303
2000-06,533212.4165650888,0.060600360921362784,0.31855457633798445
2000-07,543056.6253953305,0.01846207725929805,0.25706899898266466
2000-08,562890.2930689956,0.0365222828452314,0.29852500615509703
2000-09,616782.1391058257,0.09574129577364099,0.41826495412224207
2000-10,598712.9907097894,-0.02929583600172314,0.302739185746159
2000-11,578041.2609607754,-0.03452694374395848,0.2615016336020839
2000-12,543159.5198901612,-0.0603447252409568,0.18888392021027856
2001-01,588293.1361806889,0.08309458757098587,0.2864435086559205
2001-02,578955.8090800893,-0.01587189536362643,0.28500797371543185
2001-03,586756.1469957632,0.013473114516404872,0.23506100537422925
2001-04,599276.481781606,0.021338225172327308,0.21399718629611453
2001-05,602243.8354744132,0.004951560394937493,0.19790914356709854
2001-06,606166.5599961103,0.00651351544114509,0.13682003862735637
2001-07,607565.7309741821,0.002308228580080174,0.11878891180434592
2001-08,617377.9185868663,0.016150001740472097,0.0967997248998429
2001-09,633851.1698798806,0.026682605252096314,0.027674327273485178
2001-10,636629.6963886803,0.004383562957415155,0.06333035405485288
2001-11,654029.7712833871,0.02733154766956325,0.1314586266667357
2001-12,618397.7901417082,-0.054480671532366354,0.13851965674239097
2002-01,604191.9743778777,-0.02297197045380006,0.027025367490103758
2002-02,586080.5851161536,-0.02997621621898061,0.012306251918233535
2002-03,614815.6449582115,0.04902919593619193,0.04782139583217848
2002-04,624209.0883784853,0.015278471680583605,0.04160451370084872
2002-05,622958.3410860099,-0.002003731306963963,0.03439554610846107
2002-06,626366.6925993819,0.0054712350547072575,0.033324392891949106
2002-07,616139.5943541555,-0.016327653379499818,0.014111828470354748
2002-08,644405.4821999391,0.045875785462890395,0.043777988812649715
2002-09,623237.0583858151,-0.032849540233358954,-0.016745431732936522
2002-10,624323.6063807324,0.00174339439591642,-0.019330059652816867
2002-11,620132.721072945,-0.0067126811559831134,-0.05182799269814076
2002-12,632435.0639345192,0.019838241788449507,0.02269942424858007
2003-01,647556.9017829313,0.023910498817595327,0.0717734250768649
2003-02,705664.6425921147,0.08973379891279709,0.20404029840411986
2003-03,695716.5445079575,-0.014097486941693549,0.13158562280119734
2003-04,699216.3171991361,0.005030457761578511,0.12016362820909565
2003-05,697489.8486750259,-0.0024691479326827137,0.11964123870479759
2003-06,675564.9392966476,-0.03143401931946044,0.07854543876382714
2003-07,671868.545995513,-0.005471558818583744,0.090448580406155
2003-08,672792.4763915708,0.0013751654271727531,0.044051447381734166
2003-09,645879.9144465668,-0.04000128254903457,0.036331048926064646
2003-10,647121.7361400402,0.0019226820120850086,0.03651652688814844
2003-11,664609.1900175749,0.027023437632993197,0.07172088721213954
