,sales,MoM,YoY
,Manhattan,,
,All Upper Manhattan,,
,All,,
1995-01,55654.3712073556,,
1995-02,65380.1499281299,0.1747531866731229,
1995-03,67813.770037581,0.037222614388714215,
1995-04,78139.9770732929,0.1522730122508944,
1995-05,103910.6568103775,0.32980147553553163,
1995-06,108033.2434539565,0.039674339188348506,
1995-07,117294.6567785196,0.08572743933685834,
1995-08,103847.3014225786,-0.11464593294588699,
1995-09,97996.6281798249,-0.05633919382214825,
1995-10,90283.7030185544,-0.07870602595751763,
1995-11,75978.1558795563,-0.15845104554537526,
1995-12,81620.1561565176,0.07425818923409011,
1996-01,65492.5372807103,-0.19759358025339258,0.1767725671843441
1996-02,65492.5372807103,0.0,0.0017189827907084787
1996-03,90433.5595082272,0.38082235416557686,0.3335574686101479
1996-04,88838.4660794108,-0.01763829088991331,0.1369144118903829
1996-05,94492.7649657092,0.06364696663317138,-0.09063451366547182
1996-06,79817.5015421256,-0.15530568323309368,-0.26117647688562073
1996-07,99186.555888072,0.24266675818866523,-0.15438129398033895
1996-08,98774.4417596942,-0.004154939393629764,-0.04884921989683466
1996-09,116352.6353271339,0.1779629755863894,0.1873126401208982
1996-10,116352.6353271339,0.0,0.28874460657890855
1996-11,116352.6353271339,0.0,0.5313958858330396
1996-12,171376.3319051237,0.4729046009425284,1.0996814999531073
1997-01,128982.4218494062,-0.24737319082770048,0.9694216655031893
1997-02,110112.3945596377,-0.14629921673978374,0.6812968184097123
1997-03,94866.7928915686,-0.13845490990400688,0.04902199368739968
1997-04,92276.7077888766,-0.027302336505171332,0.03870217329498282
1997-05,109048.7228346335,0.1817578395203503,0.15404309392583193
1997-06,117968.2837175827,0.08179427187308952,0.47797514878766423
1997-07,138118.6088279911,0.1708113780704692,0.39251340659365486
1997-08,137342.5156734761,-0.005619033967258713,0.39046612895685295
1997-09,158474.7481595644,0.15386519157934275,0.3620211326885816
1997-10,146117.9248329647,-0.07797345299553915,0.25581964191995743
1997-11,161067.0882039205,0.10230889460033721,0.38430116130217984
1997-12,149889.15931559,-0.06939921130366855,-0.12538004723679874
1998-01,123157.8037087725,-0.17834082016922193,-0.04515823208401415
1998-02,101914.0353244412,-0.172492263945903,-0.07445446325986682
1998-03,89668.9785711967,-0.12015083804956417,-0.054790661325643586
1998-04,100628.2108904037,0.12221877056963937,0.09050499634896836
1998-05,111764.7578759729,0.11067022743451371,0.024906619451730005
1998-06,96355.6148823446,-0.1378712152781475,-0.18320745334380772
1998-07,90343.5568607897,-0.062394475183370934,-0.3458987342299331
1998-08,123831.9541061316,0.3706783129752589,-0.09837129821813573
1998-09,121030.5583532433,-0.02262255952520409,-0.23627858848918593
1998-10,121033.68503974,2.583385997101395e-05,-0.17167120202329622
1998-11,93704.2040589913,-0.22580061882586977,-0.41822873248719683
1998-12,108324.9843692689,0.15603120966774475,-0.2772994066822949
1999-01,117395.6232920951,0.08373542794066147,-0.04678696958824502
1999-02,117395.6232920951,0.0,0.15190830113211184
1999-03,148987.7542991862,0.2691082522598469,0.6615306282416356
1999-04,114860.0653949241,-0.22906371778535173,0.14143006596848484
1999-05,113926.2574443551,-0.008129961857136991,0.019339723983304857
1999-06,87954.2771443322,-0.2279718555023048,-0.08719095143828293
1999-07,95058.8149497598,0.08077535324142482,0.05219252211019154
1999-08,89494.5529622512,-0.05853493955767719,-0.2772903116303175
1999-09,95896.6374381778,0.07153602385864755,-0.2076659089823324
1999-10,102692.4315782565,0.07086582305307387,-0.15153842052699107
1999-11,114390.4796389269,0.1139134391978629,0.22076144595297564
1999-12,136250.7255703195,0.1911019693281677,0.25779594027777186
2000-01,134948.3750025565,-0.009558485375484094,0.1495179395810009
2000-02,147520.4245331462,0.0931619186251893,0.25660923632644117
2000-03,151905.2760387257,0.0297236909360592,0.019582292204235463
2000-04,151905.2760387257,0.0,0.32252472185549275
2000-05,154111.5036093594,0.014523706010522552,0.3527303280776335
2000-06,177254.5773288057,0.15017096827573084,1.015303667812908
2000-07,195866.7245490492,0.10500235029597071,1.0604793427371053
2000-08,208578.9004719481,0.06490217239383855,1.3306323521156274
2000-09,216637.3196555831,0.038634872297252265,1.2590710732192654
2000-10,200141.8761159458,-0.07614312975189252,0.9489447570771388
2000-11,180349.3379695296,-0.09889253828594091,0.5766114325143277
2000-12,139747.3304983443,-0.22512978383122806,0.025663018772110524
2001-01,195163.3056384682,0.39654406951824006,0.4462071561422727
2001-02,219286.3583447376,0.1236044482201808,0.4864813400497392
2001-03,200284.9435237949,-0.08665114859115297,0.3184857613025609
2001-04,185863.4500878452,-0.07200488055776566,0.22354835154285535
2001-05,158777.5163773975,-0.14573028585042413,0.030276862263737714
2001-06,153534.9670879545,-0.03301820943578693,-0.13381663028566837
2001-07,169260.4100411088,0.10242255071540662,-0.13583886987030114
2001-08,178489.2302317198,0.05452438753025346,-0.14426037423797367
2001-09,193808.2080303596,0.08582578219846804,-0.10537940398043122
2001-10,194099.9771485065,0.0015054528449136573,-0.030188079999505568
2001-11,194099.9771485065,0.0,0.07624446717569944
