,sales,MoM,YoY
,Manhattan,,
,All Upper West Side,,
,All,,
1995-01,277204.0660738812,,
1995-02,226207.5598570423,-0.18396738164456483,
1995-03,245881.4601167265,0.08697277965474548,
1995-04,255037.35096428,0.037237011864200475,
1995-05,252722.5679448662,-0.009076251030140314,
1995-06,260856.2476906322,0.032184224036297504,
1995-07,259113.9090641331,-0.006679305716938311,
1995-08,264400.3594667686,0.020402032533603176,
1995-09,276217.2520283287,0.044693178879907425,
1995-10,275746.2419661385,-0.0017052159440856807,
1995-11,255299.8754908066,-0.07414921171561317,
1995-12,252276.2248270561,-0.011843525806417232,
1996-01,246944.7082773118,-0.021133646475799517,-0.10915914122451786
1996-02,253152.3034092958,0.025137591225534717,0.11911513288628339
1996-03,272026.2727349016,0.07455578745057045,0.10633096373253781
1996-04,261640.5642508849,-0.03817906402789961,0.025891161673529783
1996-05,260640.4457027355,-0.0038224904116563874,0.03133031538203057
1996-06,265227.9552904103,0.0176009121504761,0.01675906802494076
1996-07,273203.9764470088,0.03007232457025566,0.05437788899008211
1996-08,270868.9803587525,-0.008546713406674011,0.024465249990694105
1996-09,256258.2050374606,-0.05394037848830324,-0.0722585097212578
1996-10,273179.3568744677,0.06603164895552704,-0.009308866998035126
1996-11,287786.4525768739,0.05347071561164296,0.12724869929377292
1996-12,295826.9032191889,0.027938947682630166,0.17263092636647892
1997-01,310333.7747679685,0.04903837815599532,0.2566933583345816
1997-02,310806.9713353169,0.0015247987999442714,0.22774696160992547
1997-03,306551.5539145048,-0.013691512138642059,0.1269189215897879
1997-04,309883.4039409852,0.010868808146409226,0.1843859335352933
1997-05,313928.4601580115,0.013053478068146829,0.20445028902402895
1997-06,316543.1280504475,0.00832886540812483,0.1934757318618614
1997-07,315326.0585630911,-0.0038448772995079983,0.1541781443442951
1997-08,307574.8179323364,-0.024581668467478668,0.13551141044267556
1997-09,330509.6992565457,0.07456683703298084,0.28975265087894764
1997-10,319966.5945104903,-0.03189953205540175,0.17126930149968267
1997-11,324299.6636836836,0.013542254871394821,0.1268760595916385
1997-12,330235.9461847699,0.018304929563159877,0.11631478608315104
1998-01,320159.293581305,-0.030513494124067675,0.03166113266492787
1998-02,329686.3009786084,0.02975708526444487,0.0607429413895717
1998-03,343278.5365162172,0.041227783797091355,0.11980687141437651
1998-04,343826.8411936966,0.0015972588413009081,0.10953615721600785
1998-05,345169.245471298,0.003904303320068969,0.09951561988856272
1998-06,343888.4337185082,-0.003710677499789816,0.08638729842747583
1998-07,347324.2745606424,0.009991149760351092,0.10147659899522399
1998-08,355576.0367235219,0.02375809227073966,0.15606355264671024
1998-09,350802.0464729032,-0.013426074193888082,0.061397130740802774
1998-10,360053.4863020208,0.026372251593555607,0.125284615579506
1998-11,361498.8476800363,0.0040142963004199395,0.11470620590170011
1998-12,315230.9652275638,-0.12798901780573413,-0.04543715222573219
1999-01,353893.5421535951,0.12264841081878153,0.10536707585445493
1999-02,351684.7422199096,-0.006241424808839269,0.06672537250108124
1999-03,354712.6781473689,0.008609801802450301,0.033308641277697504
1999-04,377020.4038702863,0.06288956413801894,0.09654151072484174
1999-05,395865.4116224721,0.04998405274285744,0.1468733579724144
1999-06,381924.4647453503,-0.03521638028436036,0.11060572935109736
1999-07,402069.5054021659,0.05274613835028186,0.15761993863162882
1999-08,426390.2607156143,0.06048893285035839,0.199153533080054
1999-09,432849.5399264788,0.015148749410982987,0.23388544701637914
1999-10,420098.9988922226,-0.02945721286066738,0.166768313249533
1999-11,425650.9953863727,0.013215924124528877,0.17746155518348328
1999-12,421275.6731681505,-0.010279130709539785,0.3364032079273478
2000-01,415600.9134585381,-0.013470418709288445,0.1743670453250632
2000-02,469874.993243801,0.1305918202479539,0.33606874804362885
2000-03,472206.0604985237,0.004961037059304063,0.3312353619972417
2000-04,475378.2177388304,0.006717739363526487,0.2608819386400745
2000-05,494209.7963229811,0.03961388612571359,0.24842883922957593
2000-06,497699.0979416612,0.0070603651417699975,0.30313489677469097
2000-07,500678.6862831366,0.005986726425259992,0.24525406566791963
2000-08,497496.8252779151,-0.0063550957777781525,0.16676404485168606
2000-09,514536.3269914762,0.03425047326491448,0.18871866440905127
2000-10,527413.3752648479,0.025026509495771787,0.2554502073454288
2000-11,525023.1195228633,-0.0045320347455812815,0.2334591607057992
2000-12,532746.5123909556,0.014710576698243827,0.26460307661371174
2001-01,543088.7734502068,0.019413099511126575,0.30675548552274146
