,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
1995-01,278646.9366278634,69473.7880866722,171443.8723741946,283499.1768531272,520095.428072667,1416420.0157174524,,,,,,,,,,,,
1995-02,257173.4969105045,67030.187066576,162458.1330770726,250287.2790571088,484927.2892522851,1233169.5976098976,-0.0770632542285471,-0.035172992396033886,-0.05241213449442894,-0.11714989145532695,-0.0676186271252287,-0.12937576147900864,,,,,,
1995-03,254807.8181868521,65356.0306812637,155220.6789961478,253034.1403131232,473642.128916467,1287203.7530321502,-0.009198765627375871,-0.024976155648342324,-0.04454965684907408,0.010974833664589179,-0.023271860722086424,0.04381729449621563,,,,,,
1995-04,260287.6737325196,71576.8199404369,151828.3476705342,264571.2343697549,493188.0333693904,1280001.6277000108,0.021505837554988583,0.09518309472482356,-0.02185489296627674,0.045595009599711966,0.04126724220591993,-0.005595171172531166,,,,,,
1995-05,267808.7934111077,73487.1879683443,159816.0151725001,280832.9861823345,503267.0077247137,1271235.3251339959,0.02889541241325566,0.026689758353292792,0.05260985596246526,0.06146454980760585,0.02043637248549035,-0.006848665170658297,,,,,,
1995-06,270347.1018677318,82826.0605516863,164787.0410623077,280173.6493506905,499219.4042929063,1293425.3799611323,0.009478062405245957,0.12708164295747526,0.031104679242828226,-0.0023477898398157615,-0.008042656024893735,0.017455505199084564,,,,,,
1995-07,272898.0706544252,79773.5787042521,163939.0875105314,280248.09272901,497411.7235379944,1318707.4245312093,0.009435902101667448,-0.03685412329286564,-0.0051457538548537185,0.00026570442470963407,-0.0036210146067384708,0.01954658147409849,,,,,,
1995-08,274712.2651543491,79525.0047166253,165664.0915848778,277011.8680665452,494209.0975162743,1316979.2205822193,0.00664788320259424,-0.0031159939376461665,0.010522225666503182,-0.01154771342402705,-0.006438581702378099,-0.001310528716864101,,,,,,
1995-09,279225.7761257961,80640.613871223,164404.8938834787,282408.8464957934,505800.846572942,1313115.9287936958,0.0164299579740681,0.014028407273573684,-0.007600909100774822,0.019482841897415337,0.02345515109884433,-0.002933449311991132,,,,,,
1995-10,283175.5248699585,84704.2158511988,171997.3500078668,282051.3650801592,516687.0377810901,1289124.7682386239,0.014145358637603023,0.050391506027782196,0.046181448404870595,-0.001265829382010808,0.02152268285414638,-0.01827040555140591,,,,,,
1995-11,272547.3911826298,79406.7917529432,163739.66140735,283257.7637508188,507136.5998058623,1280009.829566609,-0.037531964290379416,-0.06254026490914766,-0.04801055714020652,0.004277230391410036,-0.018483989875655027,-0.00707064117964995,,,,,,
1995-12,269838.3022397679,78786.4077576425,163857.1777238784,284941.8341343094,478669.4671616555,1235693.9524974977,-0.009939882128780164,-0.007812732155592972,0.0007177022079949413,0.005945363548700788,-0.056133066820861166,-0.034621513089564404,,,,,,
1996-01,278209.5184072008,79269.727473343,168967.5347752913,292653.8256082174,499162.7342501524,1275662.6589681767,0.03102308344645066,0.006134557082323688,0.031187874235357294,0.02706514295220308,0.04281298159670577,0.03234515018050965,-0.0015697937539027595,0.14100194701417235,-0.014444013452393323,0.032291623759574284,-0.04024779433283132,-0.0993754360905289
1996-02,269901.0982975707,64249.6108017704,185544.7876056879,288265.8270640926,510144.5017012736,1253255.8958287456,-0.029863895948626373,-0.1894811190895489,0.09810910038098464,-0.014993819182118173,0.022000375223559354,-0.017564802874730945,0.04949033061324881,-0.041482448229539726,0.1421083333369506,0.15173982533214625,0.05200204857076862,0.016288350165118315
1996-03,280404.7119630054,70032.5233081534,185535.7367199906,287769.2074897524,511953.1520039656,1319036.8078170733,0.03891652806041668,0.090006965555403,-4.878005905795124e-05,-0.0017227833746308319,0.00354536860960053,0.05248801318810359,0.10045568443815567,0.0715541102809103,0.19530295782687013,0.13727423158647856,0.08088601234679271,0.024730393078746804
1996-04,281761.6550550471,77409.0726269675,179135.4748749914,281871.7915889766,521221.2621893372,1260906.4248974626,0.004839230705298014,0.10533033753983423,-0.03449611356899085,-0.020493561323741805,0.018103434169890242,-0.04407032660128185,0.08250095371244837,0.08148242254103999,0.17985526170457544,0.06539092301713745,0.056840853636345834,-0.014918108219018178
1996-05,280325.2059090884,82362.5220494332,176651.1356115107,277079.955962746,511916.1799734854,1279290.9083174753,-0.005098100185697785,0.063990553747314,-0.013868494027854616,-0.01700005381601999,-0.01785246092372894,0.014580370959334177,0.04673637612327042,0.1207738971439769,0.10534063448421804,-0.013363922346186885,0.017186050577554957,0.006336815083887393
1996-06,275671.7545649424,78554.5121708998,172049.3708033562,278099.3780329086,496534.3754459285,1297613.3600281412,-0.016600188802341265,-0.04623474104214376,-0.026050015428571327,0.0036791620910308076,-0.030047506074829755,0.014322349663817624,0.019695615970818592,-0.051572516576722904,0.04407100033007172,-0.007403520361707994,-0.0053784544909284415,0.0032378984763192786
1996-07,276481.5644460062,76092.6441035891,171698.4096723669,289054.3328052887,506213.4942124973,1304288.0371236776,0.0029375874301733607,-0.0313396137188755,-0.0020398861637828114,0.039392230395724814,0.019493350803509113,0.005143810399263815,0.013131253669135923,-0.04614227743636112,0.04733051939999999,0.03142301519530433,0.017695141183841967,-0.010934485648063874
1996-08,280703.6035799456,77176.0389003651,172693.5786933333,290403.4508979575,510544.705066543,1298092.4065347544,0.015270599117156891,0.014237838749578957,0.005796029345090492,0.0046673512193209366,0.008556095211929682,-0.004750201192204595,0.021809504654734635,-0.029537449568602492,0.04243217127625942,0.04834299311751966,0.03305404055159222,-0.014341011423942729
1996-09,283250.7448710334,77920.4624175324,174586.8779887388,293609.200184226,512960.3726071212,1311194.5826522429,0.009074131071361125,0.00964578550252293,0.010963345074732622,0.011038950385596324,0.004731549493326659,0.010093407874147031,0.014414746378658139,-0.0337317800932726,0.06193236627418486,0.03966006669907718,0.014154832050378374,-0.0014631961271065475
1996-10,280433.858738831,78580.0807329152,176633.9687255066,289131.6468062577,514441.2718059639,1269379.2531674607,-0.00994484986609645,0.008465277218816736,0.01172534133349834,-0.01525004453252421,0.0028869660853449997,-0.03189101757894652,-0.009681861214476561,-0.07230023980201827,0.026957500900029796,0.025102809639252266,-0.004346472450268313,-0.015316993015456637
1996-11,292374.1905628165,84322.234951469,182316.2957271284,295645.1131618527,530404.3996200883,1290662.744824124,0.042578067704390765,0.0730739159974998,0.0321700692263347,0.022527683937551002,0.031030029449397256,0.016766850099018793,0.07274624531959306,0.06190205006416982,0.11345225805471526,0.04373172070203535,0.0458807347431307,0.008322526133351493
1996-12,288500.3745751068,78804.9498790608,180183.0786079639,298056.2020239063,535335.2906687778,1285125.7203425555,-0.013249514193618417,-0.06543096344141763,-0.011700638775358208,0.008155348269645257,0.009296474637505492,-0.004290062995754185,0.0691602051318736,0.00023534670441294203,0.09963494496162295,0.04602471914817308,0.1183819470314893,0.04000324493386875
1997-01,302268.5019849482,86657.1027648175,185232.4988152101,305846.9779674939,549296.3019491287,1376249.127509587,0.047723083306628666,0.09964035124452342,0.02802383135118114,0.026138613760376295,0.026079004174953457,0.07090622008774528,0.08647793114875912,0.09319289376841544,0.09626088266926214,0.045081086269271875,0.10043531750078949,0.07885036677546853
1997-02,302318.922251194,87772.6631052767,189879.3115166993,307078.4872153822,555966.908282653,1347983.1268414618,0.00016680622001552514,0.012873270682574933,0.025086379178660856,0.004026553592493709,0.012143912693120651,-0.02053843312458581,0.12011001125264809,0.3661197633722961,0.02336106536295146,0.065261499577981,0.08982240606057079,0.07558490754202718
1997-03,298213.4017130623,85513.7406853071,190370.6932314342,306820.2175246085,550951.2017014851,1327402.4598471662,-0.013580097823716386,-0.025736058814350815,0.002587863368630927,-0.0008410543282134642,-0.009021591944493701,-0.015267748226581501,0.06351066508613612,0.22105754078050377,0.02605943521673404,0.06620239253893945,0.07617503583065632,0.006342243052290142
1997-04,307435.7400238873,91912.3962037368,192059.1257926781,315569.8271389093,553756.2889339363,1352390.3010092927,0.03092529798408794,0.07482605096152817,0.00886918323710284,0.028517056942634733,0.005091353324556458,0.018824615682122126,0.09111986854217036,0.1873594797687408,0.07214456503774813,0.11955093257104266,0.06242075890752985,0.07255405659406455
1997-05,309701.4499139199,91407.28671271,192518.3236517524,315509.0873642844,568279.8526031174,1358363.0757497218,0.0073697023314744925,-0.005495553504090478,0.002390919239994904,-0.00019247649617082363,0.026227356617730013,0.004416457834673704,0.10479344484761888,0.10981650923521036,0.08982216833939116,0.13869329258412777,0.11010332322871941,0.061809371831026416
1997-06,319823.4302802331,92154.8987045684,200862.3439187626,320152.7110429365,574728.7963271015,1376216.8880969754,0.03268302543990842,0.008178910224172053,0.043341434252792244,0.014717876170997846,0.011348182932130246,0.013143623134337146,0.16016031742160042,0.17313310410584926,0.1674692152657633,0.1512169257892102,0.1574803774883624,0.060575461451113366
1997-07,321409.6500417926,91962.2986690557,202039.8044634138,319541.6758964764,580913.7785030497,1375000.7568864923,0.004959673405321219,-0.00208995982004323,0.005862027305264528,-0.001908574019159781,0.010761566525767208,-0.0008836769996077853,0.16249939009788972,0.20855701299934282,0.17671331288940917,0.10547270748480475,0.14756675818522313,0.054215570295926385
1997-08,309867.6594273612,78460.2477707464,204181.8333306326,316104.9527074801,572286.2127643742,1372998.6112735842,-0.035910529173379224,-0.14682158986585436,0.010602014157099715,-0.010755164187439714,-0.014851714760334644,-0.001456105098764926,0.10389626451343226,0.016639994597795082,0.18233598999772704,0.0885027424090552,0.12093261781998899,0.05770483238461521
1997-09,323117.6801402211,95391.9860143606,210963.0264692368,313546.6650749319,579095.4720162211,1386438.6722003864,0.04276025687012974,0.21580021379854908,0.033211540066952816,-0.008093158967096614,0.01189834579266802,0.009788837961267394,0.14074785677029533,0.2242225348100224,0.2083555700150863,0.0679047689179908,0.12892828167791648,0.05738590636634733
1997-10,333773.6622529752,97454.5625026218,213267.9606765853,328489.4801894617,602880.4829530332,1421432.369441479,0.03297864142912221,0.021622114964151118,0.010925773325898946,0.04765738813059528,0.04107269368555144,0.025239989292533904,0.19020457712925376,0.24019422726045336,0.20740060485199652,0.13612426663753285,0.17191313371223194,0.11978541156600975
1997-11,332608.6108867601,94979.0776060809,212338.3484296204,336481.9225427101,617096.9306236956,1366432.0983799302,-0.0034905431373793983,-0.025401426397807736,-0.004358893122134777,0.02433089287559098,0.023580872283387455,-0.03869355464527646,0.1376127634470501,0.12638235526780517,0.16467015514304784,0.13812780107919798,0.16344610087265954,0.058705772565033065
1997-12,328386.9826014861,88028.6521925312,204210.9083663313,324415.5298414656,616662.0601472481,1404876.0664028786,-0.012692480432237918,-0.07317848929188497,-0.03827589374880602,-0.035860448638850406,-0.0007047036776021143,0.02813456158452965,0.1382549609688477,0.11704470756755359,0.133352310017115,0.08843744112207763,0.15191744481644642,0.09318181417177085
1998-01,333827.9170755013,87227.0420384955,206416.2829161136,330627.9937110689,624246.1134907141,1451024.1342505303,0.016568666732499793,-0.009106241366532042,0.010799494343495475,0.019149711706585526,0.0122985567519025,0.03284849742355678,0.1044085469815994,0.006576948172670738,0.11436321507510772,0.08102422952895338,0.13644696182303195,0.05433246441089734
1998-02,330716.6548555082,85068.2872790389,213264.4637311869,331943.3011587507,623081.2621345408,1464952.778404891,-0.009319958160627473,-0.02474868697833288,0.033176553314141266,0.003978209566946944,-0.0018660129891070465,0.009599181588771488,0.09393303069769066,-0.030811140172357754,0.12315797875868628,0.08097217805403778,0.12071645425660305,0.08677382471211459
1998-03,334492.9473836725,86279.7316488795,210573.0343335448,343868.1525996183,641203.4117062937,1488779.8679809722,0.011418513318641965,0.01424084589674246,-0.012620149417085003,0.03592436238128682,0.02908472886774094,0.016264749231047038,0.121656322157909,0.008957519077446019,0.10612106705705249,0.12074802427919673,0.16381162202039956,0.12157383537799582
1998-04,342490.0725362477,93248.7161785542,216470.8038580222,342738.0704058012,639755.7984126138,1502704.037866437,0.02390820259478388,0.08077197734034902,0.028008189857469556,-0.003286382252249309,-0.0022576506413584108,0.00935273923629043,0.11402165704493816,0.014539061432532474,0.12710501500301397,0.08609265186475756,0.15530209082453839,0.1111467131529742
1998-05,349697.2048566744,97521.3516037177,220384.3050814313,349245.2248654772,653140.6119952447,1504583.7006996349,0.02104333205063602,0.04581977747535082,0.0180786561220323,0.018985794172125425,0.020921754231601808,0.001250853651705519,0.12914293734779458,0.06688815641387547,0.14474456717214013,0.10692604065074462,0.14932917118811462,0.1076447288359994
1998-06,355828.207159946,102969.1442331964,222456.6371722483,354008.8370194294,659917.0783418908,1532530.5311649444,0.017532317153591048,0.055862562812050154,0.00940326530989255,0.01363973453262557,0.010375202861670152,0.01857446046525313,0.11257704555343251,0.11734856942653127,0.1075079222525619,0.1057499274836764,0.14822344479552618,0.11358212823860825
1998-07,359239.7010757953,97453.0426608079,224080.818010574,359754.4734115514,656379.4246500114,1600431.635755897,0.009587474649854988,-0.05357043232190095,0.007301112068272886,0.016230206117161528,-0.005360754870548545,0.04430652649989164,0.11770042072191567,0.059706467446096756,0.10909243159137727,0.12584523568720019,0.12990851472214726,0.16394963983864508
1998-08,368336.8835666916,102555.2823159523,226196.1401652418,365670.7861734983,664565.0454135374,1617369.0353558727,0.025323432971504856,0.052355878439866554,0.009439996575556941,0.01644541819269829,0.012470867391815021,0.01058301974390563,0.1886909535747685,0.3070986293034579,0.10781716705893873,0.15680182496819617,0.16124594755379307,0.17798300892352126
1998-09,367511.9254579854,105495.7134027054,232569.2976610487,365859.5033961348,656149.823700447,1619915.551866216,-0.002239683684995053,0.028671668785370086,0.028175359186726867,0.0005160850408951756,-0.012662751029666186,0.0015744808109194874,0.13739342674934663,0.10591798966030286,0.10241733612483328,0.1668422730909962,0.1330598414384898,0.16840043800515425
1998-10,377938.8535602854,109047.527056578,229174.8368387189,383329.6955308685,669506.0434686111,1620017.9173686404,0.028371672808457093,0.03366784809838075,-0.014595481245667119,0.047751095632516005,0.020355442134907253,6.319187583980757e-05,0.1323207799237207,0.11895763785963642,0.07458633782434831,0.16694664106070234,0.11051205404632136,0.1397080523818317
1998-11,371973.3390152055,97562.7672646471,221052.2855088817,382962.0891137838,662872.9867025466,1652840.9532313342,-0.01578433783370814,-0.10531884676277126,-0.035442596760976164,-0.0009589823626254823,-0.00990738893363774,0.020260909160811913,0.11835150035200837,0.02720272425977721,0.04103798086264909,0.1381357019712519,0.07417968524423779,0.20960343012358695
1998-12,360096.67172561,82195.8441480064,204128.1373185823,381789.8716445289,654491.2383478096,1638706.0535755858,-0.031928813288174984,-0.15750806939451234,-0.07656174262726367,-0.0030609230066808157,-0.01264457674830266,-0.00855188130964113,0.09656195526667744,-0.06626033568897105,-0.00040532138273696727,0.17685448606945786,0.06134507154782409,0.16644171878549985
1999-01,370199.8925123721,85734.8285378014,216877.2799439066,378344.3782193281,647160.9668906279,1704345.433667177,0.028056967975701452,0.04305551486791104,0.06245656670754185,-0.009024580485489486,-0.011199953532894047,0.04005561580026451,0.10895426528586172,-0.0171072349333542,0.050679127053384176,0.14432046111001084,0.03670804335773359,0.1745810379284216
1999-02,369742.776259385,90839.0470215722,216980.6935111903,380829.897856715,648312.8068015114,1645658.5596080238,-0.0012347822412505094,0.05953494712502172,0.00047682987960029344,0.006569463643374185,0.0017798352648148441,-0.03443367342081516,0.11800470532978613,0.06783679238309115,0.01742545248742222,0.14727393662505173,0.04049478968526965,0.1233526321578049
1999-03,369666.8636814946,94152.4594360655,221266.5404783044,378423.523388661,650667.6395755025,1611626.4201753768,-0.00020531186209604702,0.03647564041162221,0.01975220420656032,-0.00631876457598779,0.0036322478119918955,-0.020679951642431305,0.1051559280186456,0.09124654929647358,0.05078288480101034,0.10049017487605805,0.014760102171047063,0.08251492032935981
1999-04,380079.671821417,100173.1781709489,223399.9472843966,387351.9564838508,677738.4018445408,1626778.5644635477,0.028168086358137945,0.06394648393621405,0.009641795824531174,0.023593758166084777,0.04160459291736007,0.00940177208470061,0.10975383609459488,0.0742579874143856,0.032009598074570045,0.1301690414059542,0.059370471555194815,0.0825675072872456
1999-05,391252.0467040174,112665.6165553921,239595.7575403317,402922.4070525738,682358.2019563054,1616194.67510342,0.02939482353544487,0.12470841609042727,0.07249692962244625,0.04019716515714089,0.0068164945341613326,-0.006506041812530228,0.11883092363970849,0.15529178690235734,0.08717250736980486,0.15369482061715245,0.044733996668505194,0.07418063505000472
1999-06,394350.0936707258,105599.3656047627,246390.8578847872,416620.1419822585,691401.580363886,1638275.680359459,0.00791828948322948,-0.06271878827517241,0.0283606872434361,0.033995962224799614,0.013253124798168203,0.013662342535948557,0.10825978867230202,0.02554378198588858,0.10759049950937905,0.17686367800867275,0.04770978514619317,0.0690003540184827
1999-07,410764.7329153275,120872.8348961648,255111.4785218788,422519.5774606861,713296.9300162425,1692474.0705561526,0.041624534919744605,0.14463599477072275,0.03539344240267783,0.014160226268366216,0.03166806422518298,0.03308258240444717,0.1434279999822765,0.24031873809082716,0.13847977165917214,0.17446650059395585,0.08671433507621029,0.05751100687083288
1999-08,419617.1988408588,127309.4864794003,264576.4358256811,426914.3994132312,721726.3172703626,1705897.4571798898,0.021551182991545126,0.0532514322905131,0.03710126003989478,0.010401463475272932,0.01181750109863522,0.007931221433322255,0.13922123350126658,0.24137424815608477,0.16967705829286706,0.16748292605107062,0.08601305809163584,0.05473606820012966
1999-09,423749.015321153,126939.964864309,268272.2914931009,425632.6685702692,729476.5960481353,1728256.5310154199,0.0098466328160709,-0.0029025457985103476,0.01396895251040009,-0.003002313449074645,0.01073852870861769,0.013106927231425258,0.15302112929556277,0.20327130619748646,0.15351550781258538,0.16337737470062352,0.11175309311850756,0.06688063400860011
1999-10,428064.2720101504,131080.3302964572,278360.5520744732,426924.2641961076,728659.3512962175,1749282.9951283943,0.010183520274913205,0.03261672111359082,0.03760455664364315,0.003034531231300708,-0.0011203166165235645,0.012166286506448465,0.1326283814899425,0.20204771107232666,0.21462092398201893,0.1137260409863774,0.08835365775212711,0.07979237536441341
1999-11,426171.6459560547,124181.0103997403,271885.006836934,432621.4814968016,748498.7721193973,1777546.1070230508,-0.004421359543061443,-0.0526342883109393,-0.023263157043195815,0.013344796205064124,0.027227291858517022,0.01615696944026035,0.14570481606111474,0.272831981721972,0.22995790887676626,0.12967182338579542,0.1291737438914129,0.0754489738095585
1999-12,429921.4533133504,122527.513513421,259752.3490531969,439481.8732546724,769422.8475712023,1780205.8072190867,0.008798819426110605,-0.013315215273226433,-0.04462422523730336,0.015857723324636863,0.027954722480783678,0.0014962763472223806,0.19390565664807413,0.4906777195789991,0.2724965429327464,0.15110930355915397,0.17560450390982285,0.08634846581225131
2000-01,437110.1670726314,132631.2644220021,260222.0188192349,443735.4203452563,776712.9347597588,1814410.163622723,0.016720993343966706,0.08246107848646078,0.0018081444412338943,0.009678549559014593,0.009474747483219081,0.019213709035736715,0.18074093459663332,0.5469939893041667,0.19985836638369414,0.17283471326755295,0.20018507681571207,0.06457888628757824
2000-02,454685.1022291685,132333.307920052,277590.1085372773,453599.8096932833,798888.033113248,1851605.28659051,0.040207106767243816,-0.0022465027627428524,0.06674335168426815,0.022230340188646336,0.028549927986390555,0.020499842711155125,0.22973356458543526,0.4567888177935846,0.27933091209776784,0.19108245504387233,0.23225705975886557,0.12514547794868225
2000-03,462501.4234508598,134403.5528445776,281561.1823027687,466699.7531906122,802898.6176110298,1887973.8191740352,0.01719062529951043,0.015644171199712842,0.014305530504730157,0.028879958098277925,0.005020208504253887,0.019641622783705293,0.25113032540928937,0.4275097395182197,0.2724977834159985,0.23327363217663089,0.2339611942816815,0.17147112726570124
2000-04,468585.6502271417,132162.0435170526,291271.5148479549,477210.6270022749,810591.0124043608,1944058.3378865449,0.013155044433994734,-0.016677455916043082,0.03448746899615052,0.022521704243048557,0.00958077972063176,0.029706195151077752,0.2328616470899023,0.3193356338511455,0.30381192291489323,0.23198197147139088,0.19602343647378806,0.19503562461042412
2000-05,485156.8945624169,134036.217621613,307637.1592299864,485175.971570436,841841.4295535483,2080135.0969329693,0.035364387123768104,0.014180880188331635,0.05618690310507857,0.016691465188438004,0.038552632179442936,0.06999623231181329,0.24001113514797434,0.18968165905091405,0.2839841672831005,0.20414244300672424,0.23372361780075068,0.2870572641874729
2000-06,501832.5631298014,148296.4857187794,313990.9125628593,493688.4860165287,855315.4153070223,2162618.0528252237,0.03437170275076684,0.1063911556906465,0.020653400092421448,0.017545210284299673,0.016005372603982604,0.039652691795773354,0.2725559627958938,0.40433121799067884,0.2743610508052292,0.18498468093161025,0.23707471836681093,0.3200574718601188
2000-07,498828.4527837986,146280.8724645963,313852.3055826702,486176.8682582509,841139.1117093301,2125957.413914154,-0.005986280219176909,-0.013591780306954848,-0.00044143627934245533,-0.015215298657028642,-0.01657435765097659,-0.016951971182880277,0.21438968054403063,0.2102046964502664,0.23025552358967527,0.15066116268538554,0.17922715816283752,0.2561240676588665
2000-08,496014.8339789007,134546.4180376136,316658.0871834445,491017.4505881699,834500.1546519367,2099523.616125439,-0.005640453725516359,-0.08021865216740998,0.008939815164223042,0.009956422540752685,-0.007892816972809635,-0.012433832218702423,0.18206507109117775,0.05684518694044294,0.19684916835178012,0.15015434303233777,0.1562556812506095,0.23074432597858108
2000-09,505105.4579344522,144210.6912295957,326953.170419756,485029.8754418744,840840.9310394173,2148931.568361019,0.018327322758936226,0.07182854313728648,0.03251167000938571,-0.012194220672041789,0.007598292645164539,0.023532934736290256,0.19199205112403717,0.1360542866365846,0.21873626456187378,0.13955039464222674,0.15266334190101083,0.243410066616925
2000-10,520279.028527909,153975.8054695079,328576.6041367927,495763.7474081753,859536.031547784,2190982.1722254506,0.03004040117781881,0.06771421838874159,0.004965340189093448,0.022130331572920436,0.02223381357667309,0.019568144692715173,0.2154226889451123,0.17466751206126263,0.18039931192866954,0.16124518792974096,0.1796129837883078,0.25250298455261455
2000-11,520857.8672238913,154659.4560143825,318662.1793345673,517178.7906222431,860902.72852382,2194090.935925497,0.0011125543491923295,0.004439986806953122,-0.030173861064368035,0.04319606531543374,0.0015900403541839747,0.001418890459016886,0.22217860377694,0.24543563880283847,0.17204763529196132,0.19545332985520414,0.15017253279674403,0.2343370038373045
2000-12,511332.7812999944,134390.638023698,317261.4557852952,526459.6918682687,872082.7063481765,2171554.383911367,-0.01828730354917063,-0.1310545020202296,-0.004395637888992776,0.017945247203311032,0.012986342653979799,-0.010271475828609655,0.18936326010069315,0.09682008693482214,0.22139975612047524,0.19790991143608339,0.13342450006655682,0.21983333337375055
2001-01,536449.3859235802,160894.0092082501,332545.1709964473,551461.3100297214,891636.1431280872,2205657.147886648,0.04911987954249719,0.19721143953404385,0.048173879721132185,0.04749009002518023,0.022421539422321723,0.015704310344673678,0.2272635741150406,0.21309262872080037,0.27792864149383245,0.24277054466521286,0.14796098175431416,0.215633152915516
2001-02,538397.0727236185,151496.3479594809,331608.9450919295,554585.8952366442,906325.4853323102,2270654.822729697,0.003630700027151823,-0.05840901904933904,-0.002815334535493208,0.005666009836219343,0.016474592598600957,0.029468621134217,0.1841097719807363,0.14480889460577884,0.19459928467659382,0.22263255712484975,0.13448374210886738,0.2263168825310562
