,rentals,MoM,YoY
,Manhattan,,
,All Downtown,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,,,
2005-02,,,
2005-03,,,
2005-04,,,
2005-05,,,
2005-06,,,
2005-07,,,
2005-08,,,
2005-09,,,
2005-10,,,
2005-11,,,
2005-12,,,
2006-01,,,
2006-02,,,
2006-03,,,
2006-04,,,
2006-05,,,
2006-06,,,
2006-07,,,
2006-08,,,
2006-09,,,
2006-10,,,
2006-11,,,
2006-12,,,
2007-01,2934.6012362663,,
2007-02,2819.8528436129,-0.03910186884518407,
2007-03,2817.5721405346,-0.0008088021626611042,
2007-04,2834.6167500482,0.0060493959563237,
2007-05,2873.6009550967,0.013752901533456763,
2007-06,2915.6496897291,0.014632767489104914,
2007-07,2952.6532052286,0.012691344790100034,
2007-08,2999.9733270895,0.016026305350423264,
2007-09,3008.7748745325,0.002933875232663752,
2007-10,2986.844274246,-0.0072888804250956785,
2007-11,3047.2992509339,0.020240418025530005,
2007-12,3050.6278715898,0.0010923182732645031,
2008-01,3037.4766392214,-0.004310992006228087,0.03505600750239868
2008-02,3047.3859838778,0.003262360779485718,0.08068972137332375
2008-03,3043.9754981158,-0.001119151226672055,0.08035405884523072
2008-04,3045.907061745,0.000634552949061451,0.07453928708112212
2008-05,3050.7936501673,0.0016043130414820084,0.06166224811288634
2008-06,3050.5557642049,-7.797510735840785e-05,0.04626964444700987
2008-07,3044.2104311736,-0.0020800580359013887,0.03100845903029481
2008-08,3050.0737401931,0.0019260524697826131,0.01670028618294639
2008-09,3013.77665727,-0.011900395208412906,0.0016623984665111724
2008-10,2970.3791949834,-0.014399694211551628,-0.005512533547386456
2008-11,2923.464558177,-0.015794157488590255,-0.040637522789712444
2008-12,2873.5156469517,-0.017085519674111205,-0.0580576301316621
2009-01,2830.5383419119,-0.014956349754138842,-0.06812835846617249
2009-02,2790.4276619275,-0.014170689508239187,-0.08432089774965756
2009-03,2777.5835874008,-0.004602905390433287,-0.08751447272814605
2009-04,2753.9988417982,-0.00849110201744463,-0.09583622022254545
2009-05,2742.0737613803,-0.004330096380909754,-0.10119330383753433
2009-06,2753.5319991714,0.0041786759905875215,-0.09736709897873852
2009-07,2755.5472203885,0.00073186773122913,-0.09482367178993434
2009-08,2769.7632143203,0.005159045661280892,-0.09190286850410823
2009-09,2779.3836109768,0.0034733642958215682,-0.07777386082269377
2009-10,2778.4913811773,-0.0003210171478224,-0.06460044365048567
2009-11,2760.6002435013,-0.006439155362223503,-0.0557093515021978
2009-12,2755.8888942353,-0.0017066394444799071,-0.04093478761501834
2010-01,2764.0894859598,0.0029756612255500414,-0.023475695406837804
2010-02,2782.6152080151,0.006702287371447735,-0.002799733538694782
2010-03,2784.02964207,0.0005083110488384168,0.002320741920581515
2010-04,2804.4685653417,0.0073414891001315485,0.018325978492622186
2010-05,2820.7188869495,0.0057944388497077615,0.02868089351820058
2010-06,2839.3948205903,0.006620983653212287,0.03118279411488145
2010-07,2865.6797365568,0.009257224735317315,0.03996756627991016
2010-08,2890.3502755247,0.008608965842618055,0.04353695672645874
2010-09,2912.0337296007,0.00750201602193834,0.04772645204498449
2010-10,2926.4464651771,0.0049493710975581084,0.05325015042411563
2010-11,2933.1524019368,0.002291494766603952,0.06250530435969592
2010-12,2930.1908334915,-0.0010096878850700541,0.06324708504061993
2011-01,2943.727683657,0.004619784490066836,0.06499000796091181
2011-02,2961.1486732042,0.005918003096522018,0.06416031389278998
2011-03,2984.7276052735,0.007962765356116286,0.0720890180803806
2011-04,3011.6238101827,0.009011276225568743,0.07386613185866087
2011-05,3023.4475389459,0.00392603110761125,0.07187127116224024
2011-06,3047.0240422012,0.007797887329482167,0.07312446303882969
2011-07,3071.9024018851,0.008164805836559097,0.07196291431228907
2011-08,3089.831428252,0.005836457029330555,0.0690162553710163
2011-09,3113.630256114,0.007702306230817246,0.06922877453790455
2011-10,3130.7190896403,0.005488395255905498,0.06980227620560209
2011-11,3120.7917374646,-0.0031709495139791155,0.06397190115450502
2011-12,3119.5836054022,-0.0003871235776153892,0.06463496156836546
2012-01,3124.9247699264,0.0017121402083761783,0.0615536169583113
2012-02,3141.6638696232,0.005356640856731376,0.06096120672781624
2012-03,3166.4042404714,0.00787492611396634,0.06086874891930116
2012-04,3182.8919430308,0.005207074431199388,0.05686903266902732
2012-05,3211.6778316352,0.009043941522246524,0.062256840995139395
2012-06,3222.2123922825,0.0032800801324259776,0.057494902453983476
2012-07,3243.240828575,0.006526086344545545,0.05577599945387468
2012-08,3253.9803940807,0.003311368496313305,0.05312554087184096
2012-09,3263.5414529395,0.002938265662630446,0.048146756195964535
2012-10,3270.9597210013,0.0022730730308690994,0.044795022276212126
2012-11,3277.7766190425,0.0020840666417969445,0.05030290220693745
