,rentals,MoM,YoY
,Manhattan,,
,All Midtown,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,,,
2005-02,,,
2005-03,,,
2005-04,,,
2005-05,,,
2005-06,,,
2005-07,,,
2005-08,,,
2005-09,,,
2005-10,,,
2005-11,,,
2005-12,,,
2006-01,,,
2006-02,,,
2006-03,,,
2006-04,,,
2006-05,,,
2006-06,,,
2006-07,,,
2006-08,,,
2006-09,,,
2006-10,,,
2006-11,,,
2006-12,,,
2007-01,2718.6245315693,,
2007-02,2514.4468085993,-0.07510331809304338,
2007-03,2531.3648244652,0.006728325215725972,
2007-04,2596.7389428782,0.025825640690417373,
2007-05,2690.7149818648,0.03619002181345121,
2007-06,2744.2861239036,0.01990963086014874,
2007-07,2790.1032914701,0.01669547762072532,
2007-08,2794.914202289,0.0017242769590675167,
2007-09,2830.5194106059,0.012739284908187765,
2007-10,2818.9102679047,-0.004101417802577334,
2007-11,2843.3101857311,0.008655797988396552,
2007-12,2830.4983226805,-0.004505967416040257,
2008-01,2828.4442199464,-0.0007257035687464608,0.04039531281420006
2008-02,2814.0706435025,-0.005081795971982328,0.1191609358680803
2008-03,2849.5814454812,0.012619015823462698,0.12570950577352247
2008-04,2820.0606055589,-0.010359710886352569,0.08600081394134018
2008-05,2820.7023105182,0.0002275500597523905,0.048309586682165895
2008-06,2825.1248425119,0.0015678832811276688,0.02945710285242087
2008-07,2823.0175202826,-0.0007459218076276697,0.011796777887444154
2008-08,2824.2516641621,0.0004371718810221026,0.010496730757986406
2008-09,2820.6535839797,-0.0012739941797882404,-0.003485518095806883
2008-10,2770.2597241637,-0.017866022294343198,-0.017258635116882304
2008-11,2712.8240238254,-0.020732965879449727,-0.04589234145487642
2008-12,2659.7088984973,-0.019579274166557026,-0.060338995015358776
2009-01,2616.7820313561,-0.016139686251173235,-0.07483343213829086
2009-02,2590.9325219098,-0.00987835789781244,-0.07929371713105737
2009-03,2552.6270238189,-0.01478444450674643,-0.10420983830211394
2009-04,2515.8057563556,-0.014424852169829694,-0.1078894718090645
2009-05,2513.4928182801,-0.0009193627408065064,-0.10891241202325308
2009-06,2508.8624697215,-0.0018421968524932053,-0.11194633526679909
2009-07,2531.3968765913,0.008981921943414184,-0.10330103925890866
2009-08,2538.1605011796,0.002671894182554091,-0.10129804174776957
2009-09,2544.616750427,0.002543672570903155,-0.09786272058380019
2009-10,2527.4757494495,-0.006736181774573136,-0.08763942694488425
2009-11,2518.168878183,-0.003682279154815782,-0.07175369428051359
2009-12,2518.0562025824,-4.4745053271011415e-05,-0.05325872165744605
2010-01,2532.9440008224,0.005912416976528112,-0.032038599137832025
2010-02,2530.5855010004,-0.0009311298714990146,-0.023291621992886702
2010-03,2543.0850967793,0.004939408596926764,-0.003738081180902242
2010-04,2558.1965401565,0.005942169767082506,0.01684978408758675
2010-05,2566.1298603378,0.0031011378745804397,0.020941791309241786
2010-06,2583.6506078192,0.006827693232599685,0.029809580636758426
2010-07,2606.3240281929,0.008775730087141387,0.0295991325163103
2010-08,2627.6106655586,0.00816730273574584,0.035242122922261254
2010-09,2646.5852609465,0.0072212354884266805,0.040072246833394054
2010-10,2655.2794199621,0.0032850477722718985,0.050565735612077
2010-11,2658.6734257925,0.0012782104229349667,0.05579631645312122
2010-12,2656.7501730561,-0.0007233881069190762,0.05507977555523258
2011-01,2684.5074309707,0.010447823885025187,0.05983686575743108
2011-02,2696.048979508,0.004299317038256811,0.06538545267179785
2011-03,2705.2949329036,0.0034294456316916744,0.06378466702892926
2011-04,2732.3963330219,0.01001790961446547,0.06809476525003166
2011-05,2750.0798135575,0.006471784609681119,0.0716838052753439
2011-06,2769.8107694919,0.007174684835374201,0.07205314879237235
2011-07,2793.1385699735,0.008422163975439823,0.0716774045589903
2011-08,2810.8179390589,0.006329571069425111,0.06972390388792715
2011-09,2822.9158629628,0.004304058166054947,0.0666257024167205
2011-10,2832.1705221118,0.00327840417435854,0.06661863938682022
2011-11,2831.6769780654,-0.0001742635348214172,0.06507138131165191
2011-12,2837.5835402425,0.002085888405652714,0.06806562732934163
2012-01,2840.5890322455,0.0010591730464941662,0.05814161640013116
2012-02,2849.4644397699,0.003124495456276355,0.05690381051233606
2012-03,2870.6947275346,0.0074506238675555725,0.06113928378724909
2012-04,2891.1113618801,0.007112088286389762,0.05808638627569418
2012-05,2906.8439294058,0.005441702361637546,0.057003478617411396
2012-06,2919.0590814554,0.00420220429656748,0.053883938068042925
2012-07,2939.6759461908,0.007062845992524824,0.05246333919576718
2012-08,2949.8180298431,0.0034500685918941176,0.04945182996474662
2012-09,2957.641876052,0.002652314864763472,0.04772583372279393
2012-10,2961.5571227443,0.0013237730788171476,0.04568460819090214
