,rentals,MoM,YoY
,Manhattan,,
,All Upper Manhattan,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,,,
2005-02,,,
2005-03,,,
2005-04,,,
2005-05,,,
2005-06,,,
2005-07,,,
2005-08,,,
2005-09,,,
2005-10,,,
2005-11,,,
2005-12,,,
2006-01,,,
2006-02,,,
2006-03,,,
2006-04,,,
2006-05,,,
2006-06,,,
2006-07,,,
2006-08,,,
2006-09,,,
2006-10,,,
2006-11,,,
2006-12,,,
2007-01,1690.5833520286,,
2007-02,1612.0725822434,-0.04644004668033186,
2007-03,1579.2182302385,-0.020380194022764808,
2007-04,1582.5688010182,0.002121664197856976,
2007-05,1622.6020800374,0.02529639090157909,
2007-06,1546.8536797563,-0.046683288042718374,
2007-07,1596.3449879104,0.031994822006627954,
2007-08,1664.1371050205,0.04246708426030099,
2007-09,1647.811976317,-0.009809966170605255,
2007-10,1689.1534493372,0.025088707701106605,
2007-11,1683.0088097492,-0.0036377036026010723,
2007-12,1698.1054999755,0.008970060132097224,
2008-01,1729.4530973416,0.01846033557193727,0.022991912978652218
2008-02,1708.8313448451,-0.011923857621925937,0.060021343745607414
2008-03,1698.2332922889,-0.006201930101627839,0.07536327771015272
2008-04,1731.3219772613,0.01948418107373384,0.09399476101601056
2008-05,1723.9576720092,-0.004253573482472128,0.06246484780141781
2008-06,1740.4290961186,0.009554424900817482,0.12514138789959572
2008-07,1754.8939365339,0.008311077105961129,0.09931997771424017
2008-08,1754.2218856544,-0.0003829581181569175,0.054133028079312195
2008-09,1735.6940731941,-0.010561840900410568,0.05333259992048589
2008-10,1725.5791169687,-0.0058276146595269696,0.021564451498348403
2008-11,1691.7758983066,-0.019589492205655312,0.005209175677878042
2008-12,1688.0871408774,-0.0021804054738527867,-0.005899727136061017
2009-01,1667.7602073587,-0.012041400604553498,-0.035671906961645905
2009-02,1634.3694593383,-0.02002131234038873,-0.0435747423122963
2009-03,1617.3980536159,-0.010384069296835219,-0.04759960780420769
2009-04,1586.6450160256,-0.019013895510476053,-0.08356444562932075
2009-05,1591.5288625379,0.0030780965263004223,-0.07681674070162048
2009-06,1595.7877218649,0.002675954817563664,-0.08310673188368911
2009-07,1623.5877589034,0.017420886661549062,-0.07482285675329381
2009-08,1606.4751378664,-0.01054000373134012,-0.08422352325907967
2009-09,1582.7674057945,-0.014757609074104172,-0.08810692492495387
2009-10,1595.9516005864,0.00832983718494118,-0.07512116663188106
2009-11,1579.7103528406,-0.010176528999897183,-0.06624136540671444
2009-12,1567.9563201056,-0.0074406252474474854,-0.07116387410507774
2010-01,1575.3774210114,0.004732976812326095,-0.05539332689416443
2010-02,1577.0474147728,0.0010600594747181002,-0.035072880393095196
2010-03,1588.3909687493,0.007192906104306562,-0.017934413116023507
2010-04,1586.0521371062,-0.0014724533752176194,-0.0003736682833347382
2010-05,1610.7900744309,0.015597177889646874,0.012102332760893342
2010-06,1614.7009722313,0.002427937608059816,0.011851983886865147
2010-07,1612.8671972619,-0.0011356746548967234,-0.006603007187453214
2010-08,1617.6110921691,0.002941280543899305,0.0069319182352798325
2010-09,1614.849169331,-0.001707408444137526,0.020269411297610063
