,rentals,MoM,YoY
,Manhattan,,
,All Upper West Side,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,,,
2005-02,,,
2005-03,,,
2005-04,,,
2005-05,,,
2005-06,,,
2005-07,,,
2005-08,,,
2005-09,,,
2005-10,,,
2005-11,,,
2005-12,,,
2006-01,,,
2006-02,,,
2006-03,,,
2006-04,,,
2006-05,,,
2006-06,,,
2006-07,,,
2006-08,,,
2006-09,,,
2006-10,,,
2006-11,,,
2006-12,,,
2007-01,2698.1296343245,,
2007-02,2611.799055932,-0.03199645313339938,
2007-03,2706.0596375841,0.0360902885840364,
2007-04,2742.0098199163,0.013285066534710621,
2007-05,2675.1964205523,-0.024366579170762903,
2007-06,2741.9752328649,0.02496220905484514,
2007-07,2810.570039711,0.025016566898173664,
2007-08,2879.7226852306,0.024604491097012682,
2007-09,2801.234214597,-0.027255565626561173,
2007-10,2859.5664780096,0.020823772288884435,
2007-11,2896.506967896,0.012918213362226982,
2007-12,2904.2296358827,0.0026662003828390457,
2008-01,2860.281298605,-0.015132528342354346,0.06009780338856707
2008-02,2886.3482274505,0.00911341442473268,0.10511879575686933
2008-03,2861.8086000439,-0.008501963544529034,0.05755562822660054
2008-04,2870.5121323405,0.003041269879637154,0.046864278709301876
2008-05,2885.4904848221,0.005218007028378935,0.078608831356908
2008-06,2850.1837574378,-0.012235953495607022,0.039463713339175754
2008-07,2844.6130980076,-0.0019544913255725715,0.012112510208107219
2008-08,2850.0994755977,0.001928690265098787,-0.010286827195142845
2008-09,2840.9676579126,-0.0032040347234494337,0.014184263175336165
2008-10,2786.4038102521,-0.019206078431948992,-0.025585230600557618
2008-11,2746.2302636565,-0.014417704443192347,-0.05188204478881664
2008-12,2700.2530304191,-0.01674194398257889,-0.07023432408491503
2009-01,2669.5877933461,-0.011356430944636453,-0.06666949343475537
2009-02,2652.5988106846,-0.006363897341696401,-0.08098448224051269
2009-03,2623.7798621717,-0.010864420355169324,-0.08317423389829359
2009-04,2596.3948990925,-0.010437218256768577,-0.09549419079601518
2009-05,2589.1758943437,-0.002780395521237322,-0.10269123812295944
2009-06,2584.1522981563,-0.001940229784455516,-0.09333835356659659
2009-07,2600.8886707489,0.00647654265754416,-0.08567928883875542
2009-08,2592.5648191089,-0.0032003875189334785,-0.09035988346855572
2009-09,2595.9188012404,0.0012936926810003246,-0.08625541934266479
2009-10,2591.9793039331,-0.0015175733945984593,-0.06977614142058242
2009-11,2567.8140003978,-0.00932310821256599,-0.06496769976642291
2009-12,2562.565886526,-0.0020438060821332815,-0.05099045990950324
